Symbol,importance
RSRC1,0.0707070707070707
ZNF292,0.06060606060606061
N4BP2,0.06060606060606061
NIPBL,0.06060606060606061
FNBP1L,0.050505050505050504
ASPM,0.050505050505050504
RFC1,0.050505050505050504
MYO5A,0.04040404040404041
UBXN4,0.04040404040404041
TXLNG,0.04040404040404041
TTN,0.04040404040404041
CEP290,0.04040404040404041
NCL,0.04040404040404041
EPHA4,0.04040404040404041
DDX52,0.030303030303030304
IQGAP2,0.030303030303030304
SAMD9L,0.030303030303030304
ANKRD50,0.030303030303030304
IGF1,0.030303030303030304
ASCC3,0.020202020202020204
HOOK1,0.020202020202020204
MYCBP2,0.020202020202020204
SOSTDC1,0.020202020202020204
TFEC,0.010101010101010102
ZFX,0.010101010101010102
HLTF,0.010101010101010102
PKP2,0.010101010101010102
RSPO3,0.010101010101010102
ZC3H13,0.010101010101010102
CA1,0.010101010101010102
BRCC3,0.010101010101010102
MACC1,0.0
ALAS2,0.0
VEPH1,0.0
S100A3,0.0
MIS18BP1,0.0
EHF,0.0
FMO5,0.0
ACE2,0.0
